Anger,Sadness,Disgust,Joy,Surprise,Fear
0.003404968,0.000216113,2.222198,0.002157031,22.70558,0.00088539
0.003961184,0.000231396,2.304142,0.002364638,20.29047,0.00097967
,,,,,
0.003496295,0.000223256,2.400784,0.00219261,22.12687,0.000916942
0.003216993,0.000220691,2.466087,0.002085904,23.50381,0.000866206
,,,,,
0.002684892,0.00021744,2.500471,0.001872292,26.69285,0.000762915
0.002225866,0.000203755,2.544023,0.001675725,30.27948,0.000671798
,,,,,
0.000934488,0.000137117,2.561061,0.000998989,49.14385,0.000389574
,,,,,
,,,,,
0.000418686,9.49E-05,2.560824,0.00061934,66.78967,0.00023912
,,,,,
0.000244829,6.67E-05,2.558673,0.000450768,77.27361,0.000242986
,,,,,
0.000222343,1.90E-05,2.571604,0.000427711,84.54272,0.008762658
,,,,,
0.000222662,5.34E-06,2.616152,0.000427229,89.36029,0.3478517
,,,,,
0.000300916,3.09E-06,3.193312,0.000436544,91.40366,1.493089
,,,,,
0.000251564,1.83E-06,62.76615,0.001031411,92.79264,1.39311
,,,,,
8.05E-05,6.40E-07,94.92018,0.01518842,94.19139,0.2736485
8.47E-06,7.77E-08,83.02885,3.105489,95.38602,0.01609252
,,,,,
1.11E-06,9.57E-09,42.5875,83.48673,96.85791,0.001184658
4.17E-07,4.17E-09,24.64003,97.91407,97.7915,0.000202109
,,,,,
3.64E-07,1.12E-08,27.31301,98.0481,97.39987,7.35E-06
4.59E-07,2.68E-08,37.31886,96.97781,97.06386,9.49E-07
,,,,,
6.10E-07,1.10E-07,52.24078,96.21831,95.84395,1.89E-08
1.16E-06,1.51E-07,74.08808,95.11012,95.33714,1.57E-08
,,,,,
2.79E-06,2.56E-07,95.20188,87.99982,94.84714,2.41E-08
,,,,,
1.29E-05,9.45E-07,99.2318,26.98911,94.30223,8.86E-08
5.48E-05,3.40E-06,99.80709,2.397195,92.91602,3.32E-07
,,,,,
0.000343717,2.00E-05,99.98504,0.05302679,90.9105,2.04E-06
,,,,,
0.001033893,4.24E-05,99.99565,0.02099193,86.13258,4.60E-06
,,,,,
0.000829782,2.44E-05,99.99603,0.1338788,82.74372,2.73E-06
2.62E-05,4.18E-07,99.78478,99.06199,70.75106,5.22E-08
3.21E-05,4.22E-07,99.78865,99.20513,68.71658,5.32E-08
,,,,,
2.60E-05,3.46E-07,99.77686,99.42744,70.48057,4.32E-08
,,,,,
6.72E-06,2.88E-07,99.82465,98.03703,85.51923,3.09E-08
,,,,,
5.44E-05,4.82E-06,99.96722,2.44149,89.40723,4.93E-07
,,,,,
0.000501617,7.76E-05,98.35904,0.001249764,92.54547,7.77E-06
,,,,,
0.000307039,7.71E-05,95.55888,0.000492204,95.1284,7.73E-06
0.000241141,6.94E-05,91.11676,0.000435386,95.20856,9.64E-06
,,,,,
0.00022736,2.98E-05,81.80192,0.00042806,95.70718,8.94E-05
0.000324819,2.32E-06,62.64326,0.000427167,97.62483,0.09274928
,,,,,
0.000742108,1.96E-06,51.22359,0.00042709,97.74088,0.2746132
,,,,,
0.001264946,2.20E-06,31.08743,0.000427102,97.52392,0.3302557
,,,,,
0.002397005,2.53E-06,22.72248,0.000427121,97.48614,0.3317723
0.002357875,2.62E-06,35.16607,0.000427162,97.18446,0.3920201
,,,,,
0.000858582,2.60E-06,56.45389,0.000427135,96.22616,0.6834058
,,,,,
0.000568607,2.60E-06,9.129286,0.000426943,94.37873,1.388544
,,,,,
0.000464357,2.60E-06,3.834381,0.000425165,92.8595,2.083433
,,,,,
0.000432062,2.66E-06,3.03601,0.000416106,91.75934,2.521228
,,,,,
0.000408608,5.05E-06,1.885164,0.000292665,85.78332,3.077523
,,,,,
0.000421319,2.01E-05,0.9137238,0.000137843,67.38323,3.225797
,,,,,
0.000682502,4.58E-05,0.7773067,8.76E-05,52.27353,3.336719
,,,,,
0.001623958,6.13E-05,0.5454066,7.47E-05,46.62918,3.381168
,,,,,
0.003621642,6.39E-05,0.4574446,7.29E-05,45.72069,3.393086
,,,,,
0.00363436,6.54E-05,0.4557312,7.20E-05,45.22845,3.410902
,,,,,
0.003105917,6.56E-05,0.4591376,7.18E-05,45.08004,3.419721
,,,,,
0.001999822,6.50E-05,0.4789895,7.19E-05,45.0815,3.418759
,,,,,
0.000974981,6.62E-05,0.4936083,7.17E-05,44.95019,3.409151
,,,,,
0.000838537,6.92E-05,0.4599261,7.01E-05,44.15608,3.40564
0.000599528,7.17E-05,0.4410515,6.96E-05,43.89362,3.341348
,,,,,
0.000616951,7.30E-05,0.4337359,6.95E-05,43.7524,3.261505
,,,,,
0.000580697,7.56E-05,0.4297343,6.95E-05,43.67373,3.087173
0.000519885,8.07E-05,0.4288735,6.96E-05,43.2967,2.650512
