Disgust,Sadness
2.574589,7.16E-05
2.57834,7.16E-05
2.572997,7.21E-05
2.57092,7.32E-05
2.570463,7.59E-05
2.571074,7.61E-05
2.571439,7.83E-05
2.573089,7.83E-05
2.572976,7.94E-05
2.571551,8.26E-05
2.568396,8.36E-05
2.564028,8.33E-05
2.544231,8.06E-05
2.528301,8.11E-05
2.487815,8.00E-05
2.445643,8.16E-05
2.159111,0.000102469
1.687554,0.000158992
0.8730883,0.000539794
0.5471584,0.001271672
0.4523068,0.001822798
0.4291799,0.002021434
0.4290222,0.001957938
0.4265574,0.0014876
0.4272584,0.000470335
0.4291759,0.000104931
0.4357661,0.000103771
0.4823824,8.30E-05
0.5080916,7.58E-05
0.4958816,6.40E-05
0.3449325,3.71E-05
0.154367,8.51E-06
0.3532131,1.01E-05
0.9316802,7.38E-05
1.010314,0.000155555
1.150878,0.000204819
1.391307,0.000137296
1.372585,0.000154791
1.354538,9.31E-05
1.211371,4.06E-05
1.152769,1.58E-05
1.383652,8.69E-06
1.486414,7.24E-06
1.716596,5.46E-06
1.8625,4.73E-06
2.078965,3.95E-06
2.186083,3.64E-06
1.7743,5.57E-06
1.921806,4.83E-06
1.795582,5.59E-06
1.847708,5.98E-06
1.466863,3.31E-05
1.149891,9.07E-05
1.011061,0.000114713
0.7401466,0.000198121
0.5376891,0.000302549
0.5056075,0.000275998
0.3202795,0.000140508
0.7890816,0.000115316
0.9422625,0.000410486
1.132402,0.000523823
1.307197,0.000445629
1.329346,0.000416253
0.9740427,0.000766271
0.9833579,0.000775689
0.7178044,0.00173517
0.5788237,0.002833134
0.496921,0.003143547
0.4602279,0.003191022
0.4663133,0.002384948
0.4673935,0.00217477
0.4783115,0.001602495
0.4829073,0.001673883
0.4676597,0.001924395
0.4593849,0.001674656
0.4481219,0.001766326
0.4302177,0.001938061
0.4256915,0.001834142
0.4240924,0.001765727
0.4219112,0.00181562
0.4232395,0.001771259
0.4228948,0.001716945
0.4221345,0.001690825
0.4210543,0.001652518
0.4214149,0.00172173
0.4206954,0.001598716
0.4231184,0.001666143
0.4221974,0.001598027
0.4233565,0.001639305
0.4216845,0.001766429
0.4223863,0.00187698
0.4227405,0.001859836
0.4225767,0.001830633
0.4227161,0.001941189
0.4231592,0.002032584
0.4232377,0.00209516
0.4233716,0.002180269
0.4244853,0.002260745
0.426067,0.002765596
0.4286966,0.003075228
0.4333425,0.003432671
0.4443294,0.004079903
0.46139,0.005774453
0.5069814,0.004870687
0.5599728,0.004183854
0.7318752,0.002700291
0.9601365,0.001849289
1.594647,0.00066856
2.123603,0.000345611
2.263254,0.000273452
2.127453,0.000161925
2.155073,0.000142773
1.575317,0.000123259
1.725519,0.000144898
1.700034,0.000140599
1.673448,0.000132234
1.555468,0.000122294
1.739031,0.000110016
1.568694,0.000108481
1.724474,0.00013404
1.763451,0.000158537
1.957189,0.000214493
1.994419,0.000210465
2.105107,0.000214696
2.222198,0.000216113
2.304142,0.000231396
2.400784,0.000223256
2.466087,0.000220691
2.500471,0.00021744
2.544023,0.000203755
2.561061,0.000137117
2.560824,9.49E-05
2.558673,6.67E-05
2.571604,1.90E-05
2.616152,5.34E-06
3.193312,3.09E-06
62.76615,1.83E-06
94.92018,6.40E-07
83.02885,7.77E-08
42.5875,9.57E-09
24.64003,4.17E-09
27.31301,1.12E-08
37.31886,2.68E-08
52.24078,1.10E-07
74.08808,1.51E-07
95.20188,2.56E-07
99.2318,9.45E-07
99.80709,3.40E-06
99.98504,2.00E-05
99.99565,4.24E-05
99.99603,2.44E-05
99.78478,4.18E-07
99.78865,4.22E-07
99.77686,3.46E-07
99.82465,2.88E-07
99.96722,4.82E-06
98.35904,7.76E-05
95.55888,7.71E-05
91.11676,6.94E-05
81.80192,2.98E-05
62.64326,2.32E-06
51.22359,1.96E-06
31.08743,2.20E-06
22.72248,2.53E-06
35.16607,2.62E-06
56.45389,2.60E-06
9.129286,2.60E-06
3.834381,2.60E-06
3.03601,2.66E-06
1.885164,5.05E-06
0.9137238,2.01E-05
0.7773067,4.58E-05
0.5454066,6.13E-05
0.4574446,6.39E-05
0.4557312,6.54E-05
0.4591376,6.56E-05
0.4789895,6.50E-05
0.4936083,6.62E-05
0.4599261,6.92E-05
0.4410515,7.17E-05
0.4337359,7.30E-05
0.4297343,7.56E-05
0.4288735,8.07E-05
0.4284185,8.53E-05
0.4280708,0.000107044
0.4275707,9.63E-05
0.4255458,0.000100282
0.4247127,9.82E-05
0.4265455,0.000102838
0.4249183,0.000143717
0.4254054,0.000185697
0.4221794,0.000271529
0.4164955,0.000391499
0.416141,0.000498429
0.4176279,0.001230571
0.4203878,0.001465222
0.4210833,0.001701699
0.4189095,0.00189304
0.4135207,0.002219609
0.4121969,0.002360289
0.4114919,0.002381688
0.4165139,0.002508724
0.4158091,0.002457683
0.4176459,0.002552865
0.4204226,0.002571219
